"Activity, Exercise or Sport (1 hour)",0
"Cycling, mountain bike, bmx",3.8598126685361143
"Cycling, <10 mph, leisure bicycling",1.8148971635497992
"Cycling, >20 mph, racing",7.264033972845931
"Cycling, 10-11.9 mph, light",2.722457752493158
"Cycling, 12-13.9 mph, moderate",3.632626742520527
"Cycling, 14-15.9 mph, vigorous",4.540187331463885
"Cycling, 16-19 mph, very fast, racing",5.447523906070327
Unicycling,2.270178354078826
"Stationary cycling, very light",1.361228876246579
"Stationary cycling, light",2.4971949034006466
"Stationary cycling, moderate",3.1777389430221845
"Stationary cycling, vigorous",4.7673732574794725
"Stationary cycling, very vigorous",5.67632273531172
"Calisthenics, vigorous, pushups, situps…",3.632626742520527
"Calisthenics, light",1.5896343144572884
"Circuit training, minimal rest",3.632626742520527
"Weight lifting, body building, vigorous",2.722457752493158
"Weight lifting, light workout",1.361228876246579
Health club exercise,2.4971949034006466
Stair machine,4.084906140934859
"Rowing machine, light",1.5896343144572884
"Rowing machine, moderate",3.1777389430221845
"Rowing machine, vigorous",3.8598126685361143
"Rowing machine, very vigorous",5.447523906070327
Ski machine,3.1777389430221845
"Aerobics, low impact",2.270178354078826
"Aerobics, high impact",3.1777389430221845
"Aerobics, step aerobics",3.8598126685361143
"Aerobics, general",2.9508631907038674
Jazzercise,2.722457752493158
"Stretching, hatha yoga",1.8148971635497992
Mild stretching,1.135966027154068
Instructing aerobic class,2.722457752493158
Water aerobics,1.8148971635497992
"Ballet, twist, jazz, tap",2.0449155049863155
"Ballroom dancing, slow",1.361228876246579
"Ballroom dancing, fast",2.4971949034006466
"Running, 5 mph (12 minute mile)",3.632626742520527
"Running, 5.2 mph (11.5 minute mile)",4.084906140934859
"Running, 6 mph (10 min mile)",4.540187331463885
"Running, 6.7 mph (9 min mile)",4.993855618767106
"Running, 7 mph (8.5 min mile)",5.221041544782693
"Running, 7.5mph (8 min mile)",5.67632273531172
"Running, 8 mph (7.5 min mile)",6.1286021337260514
"Running, 8.6 mph (7 min mile)",6.355084495013684
"Running, 9 mph (6.5 min mile)",6.810365685542711
"Running, 10 mph (6 min mile)",7.264033972845931
"Running, 10.9 mph (5.5 min mile)",8.171594561789291
"Running, cross country",4.084906140934859
"Running, general",3.632626742520527
"Running, on a track, team practice",4.540187331463885
"Running, stairs, up",6.810365685542711
"Track and field (shot, discus)",1.8148971635497992
"Track and field (high jump, pole vault)",2.722457752493158
Track and field (hurdles),4.540187331463885
Archery,1.5896343144572884
Badminton,2.0449155049863155
"Basketball game, competitive",3.632626742520527
"Playing basketball, non game",2.722457752493158
"Basketball, officiating",3.1777389430221845
"Basketball, shooting baskets",2.0449155049863155
"Basketball, wheelchair",2.9508631907038674
"Running, training, pushing wheelchair",3.632626742520527
Billiards,1.135966027154068
Bowling,1.361228876246579
"Boxing, in ring",5.447523906070327
"Boxing, punching bag",2.722457752493158
"Boxing, sparring",4.084906140934859
"Coaching: football, basketball, soccer…",1.8148971635497992
"Cricket (batting, bowling)",2.270178354078826
Croquet,1.135966027154068
Curling,1.8148971635497992
Darts (wall or lawn),1.135966027154068
Fencing,2.722457752493158
"Football, competitive",4.084906140934859
"Football, touch, flag, general",3.632626742520527
"Football or baseball, playing catch",1.135966027154068
"Frisbee playing, general",1.361228876246579
"Frisbee, ultimate frisbee",3.632626742520527
"Golf, general",2.0449155049863155
"Golf, walking and carrying clubs",2.0449155049863155
"Golf, driving range",1.361228876246579
"Golf, miniature golf",1.361228876246579
"Golf, walking and pulling clubs",1.9524760939296737
